ticker,valid_date,yes_settlement,nws_t24_forecast_high_f,nws_t24_forecast_low_f,nws_t24_precip_prob,nws_t24_humidity_pct,nws_t12_forecast_high_f,nws_t12_forecast_low_f,nws_t12_precip_prob,nws_t12_humidity_pct,nws_t6_forecast_high_f,nws_t6_forecast_low_f,nws_t6_precip_prob,nws_t6_humidity_pct,nws_t3_forecast_high_f,nws_t3_forecast_low_f,nws_t3_precip_prob,nws_t3_humidity_pct,ow_t24_forecast_high_f,ow_t24_forecast_low_f,ow_t24_precip_prob,ow_t24_humidity_pct,ow_t12_forecast_high_f,ow_t12_forecast_low_f,ow_t12_precip_prob,ow_t12_humidity_pct,ow_t6_forecast_high_f,ow_t6_forecast_low_f,ow_t6_precip_prob,ow_t6_humidity_pct,ow_t3_forecast_high_f,ow_t3_forecast_low_f,ow_t3_precip_prob,ow_t3_humidity_pct,day_of_year,month,clim_mean_high,clim_std_high
HIGHNY-23DEC31-B45.5,2024-01-01,0,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,1.0,1.0,39.0,8.0
HIGHNY-23DEC31-T48,2024-01-01,0,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,1.0,1.0,39.0,8.0
HIGHNY-23DEC31-B41.5,2024-01-01,0,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,1.0,1.0,39.0,8.0
HIGHNY-23DEC31-T41,2024-01-01,0,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,1.0,1.0,39.0,8.0
HIGHNY-23DEC31-B43.5,2024-01-01,1,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,1.0,1.0,39.0,8.0
HIGHNY-23DEC31-B47.5,2024-01-01,0,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,39.11,39.11,,,1.0,1.0,39.0,8.0
HIGHNY-24JAN01-B46.5,2024-01-02,1,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,2.0,1.0,39.0,8.0
HIGHNY-24JAN01-T49,2024-01-02,0,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,2.0,1.0,39.0,8.0
HIGHNY-24JAN01-T42,2024-01-02,0,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,2.0,1.0,39.0,8.0
HIGHNY-24JAN01-B42.5,2024-01-02,0,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,2.0,1.0,39.0,8.0
HIGHNY-24JAN01-B44.5,2024-01-02,0,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,2.0,1.0,39.0,8.0
HIGHNY-24JAN01-B48.5,2024-01-02,0,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,28.99,28.99,,,2.0,1.0,39.0,8.0
HIGHNY-24JAN02-B42.5,2024-01-03,1,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,3.0,1.0,39.0,8.0
HIGHNY-24JAN02-B46.5,2024-01-03,0,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,3.0,1.0,39.0,8.0
HIGHNY-24JAN02-B48.5,2024-01-03,0,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,3.0,1.0,39.0,8.0
HIGHNY-24JAN02-T49,2024-01-03,0,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,3.0,1.0,39.0,8.0
HIGHNY-24JAN02-T42,2024-01-03,0,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,3.0,1.0,39.0,8.0
HIGHNY-24JAN02-B44.5,2024-01-03,0,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,35.02,35.02,,,3.0,1.0,39.0,8.0
HIGHNY-24JAN03-T42,2024-01-04,0,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,4.0,1.0,39.0,8.0
HIGHNY-24JAN03-B48.5,2024-01-04,0,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,4.0,1.0,39.0,8.0
HIGHNY-24JAN03-T49,2024-01-04,0,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,4.0,1.0,39.0,8.0
HIGHNY-24JAN03-B42.5,2024-01-04,1,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,4.0,1.0,39.0,8.0
HIGHNY-24JAN03-B44.5,2024-01-04,0,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,4.0,1.0,39.0,8.0
HIGHNY-24JAN03-B46.5,2024-01-04,0,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,38.7,38.7,,,4.0,1.0,39.0,8.0
HIGHNY-24JAN04-B47.5,2024-01-05,0,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,5.0,1.0,39.0,8.0
HIGHNY-24JAN04-T41,2024-01-05,0,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,5.0,1.0,39.0,8.0
HIGHNY-24JAN04-T48,2024-01-05,0,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,5.0,1.0,39.0,8.0
HIGHNY-24JAN04-B41.5,2024-01-05,0,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,5.0,1.0,39.0,8.0
HIGHNY-24JAN04-B43.5,2024-01-05,0,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,5.0,1.0,39.0,8.0
HIGHNY-24JAN04-B45.5,2024-01-05,1,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,26.8,26.8,,,5.0,1.0,39.0,8.0
HIGHNY-24JAN05-B37.5,2024-01-06,1,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,6.0,1.0,39.0,8.0
HIGHNY-24JAN05-B33.5,2024-01-06,0,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,6.0,1.0,39.0,8.0
HIGHNY-24JAN05-T33,2024-01-06,0,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,6.0,1.0,39.0,8.0
HIGHNY-24JAN05-T40,2024-01-06,0,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,6.0,1.0,39.0,8.0
HIGHNY-24JAN05-B35.5,2024-01-06,0,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,6.0,1.0,39.0,8.0
HIGHNY-24JAN05-B39.5,2024-01-06,0,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,31.84,31.84,,,6.0,1.0,39.0,8.0
HIGHNY-24JAN06-B41.5,2024-01-07,0,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,7.0,1.0,39.0,8.0
HIGHNY-24JAN06-T35,2024-01-07,0,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,7.0,1.0,39.0,8.0
HIGHNY-24JAN06-B35.5,2024-01-07,0,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,7.0,1.0,39.0,8.0
HIGHNY-24JAN06-B37.5,2024-01-07,1,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,7.0,1.0,39.0,8.0
HIGHNY-24JAN06-B39.5,2024-01-07,0,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,7.0,1.0,39.0,8.0
HIGHNY-24JAN06-T42,2024-01-07,0,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,36.99,36.99,,,7.0,1.0,39.0,8.0
HIGHNY-24JAN07-B37.5,2024-01-08,1,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,8.0,1.0,39.0,8.0
HIGHNY-24JAN07-B31.5,2024-01-08,0,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,8.0,1.0,39.0,8.0
HIGHNY-24JAN07-B33.5,2024-01-08,0,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,8.0,1.0,39.0,8.0
HIGHNY-24JAN07-T31,2024-01-08,0,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,8.0,1.0,39.0,8.0
HIGHNY-24JAN07-B35.5,2024-01-08,0,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,8.0,1.0,39.0,8.0
HIGHNY-24JAN07-T38,2024-01-08,0,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,36.59,36.59,,,8.0,1.0,39.0,8.0
HIGHNY-24JAN08-T45,2024-01-09,0,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,9.0,1.0,39.0,8.0
HIGHNY-24JAN08-T38,2024-01-09,0,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,9.0,1.0,39.0,8.0
HIGHNY-24JAN08-B38.5,2024-01-09,0,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,9.0,1.0,39.0,8.0
HIGHNY-24JAN08-B40.5,2024-01-09,0,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,9.0,1.0,39.0,8.0
HIGHNY-24JAN08-B42.5,2024-01-09,0,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,9.0,1.0,39.0,8.0
HIGHNY-24JAN08-B44.5,2024-01-09,1,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,38.86,38.86,,,9.0,1.0,39.0,8.0
HIGHNY-24JAN09-T54,2024-01-10,1,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,10.0,1.0,39.0,8.0
HIGHNY-24JAN09-B47.5,2024-01-10,0,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,10.0,1.0,39.0,8.0
HIGHNY-24JAN09-B49.5,2024-01-10,0,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,10.0,1.0,39.0,8.0
HIGHNY-24JAN09-B51.5,2024-01-10,0,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,10.0,1.0,39.0,8.0
HIGHNY-24JAN09-T47,2024-01-10,0,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,10.0,1.0,39.0,8.0
HIGHNY-24JAN09-B53.5,2024-01-10,0,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,50.59,50.59,,,10.0,1.0,39.0,8.0
HIGHNY-24JAN10-B52.5,2024-01-11,0,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,11.0,1.0,39.0,8.0
HIGHNY-24JAN10-B46.5,2024-01-11,0,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,11.0,1.0,39.0,8.0
HIGHNY-24JAN10-T46,2024-01-11,0,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,11.0,1.0,39.0,8.0
HIGHNY-24JAN10-B48.5,2024-01-11,0,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,11.0,1.0,39.0,8.0
HIGHNY-24JAN10-B50.5,2024-01-11,0,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,11.0,1.0,39.0,8.0
HIGHNY-24JAN10-T53,2024-01-11,1,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,41.2,41.2,,,11.0,1.0,39.0,8.0
HIGHNY-24JAN11-B49.5,2024-01-12,0,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,12.0,1.0,39.0,8.0
HIGHNY-24JAN11-T43,2024-01-12,0,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,12.0,1.0,39.0,8.0
HIGHNY-24JAN11-B43.5,2024-01-12,0,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,12.0,1.0,39.0,8.0
HIGHNY-24JAN11-B45.5,2024-01-12,0,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,12.0,1.0,39.0,8.0
HIGHNY-24JAN11-B47.5,2024-01-12,1,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,12.0,1.0,39.0,8.0
HIGHNY-24JAN11-T50,2024-01-12,0,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,40.93,40.93,,,12.0,1.0,39.0,8.0
HIGHNY-24JAN12-B49.5,2024-01-13,1,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,13.0,1.0,39.0,8.0
HIGHNY-24JAN12-T43,2024-01-13,0,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,13.0,1.0,39.0,8.0
HIGHNY-24JAN12-B43.5,2024-01-13,0,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,13.0,1.0,39.0,8.0
HIGHNY-24JAN12-B45.5,2024-01-13,0,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,13.0,1.0,39.0,8.0
HIGHNY-24JAN12-B47.5,2024-01-13,0,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,13.0,1.0,39.0,8.0
HIGHNY-24JAN12-T50,2024-01-13,0,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,54.39,54.39,,,13.0,1.0,39.0,8.0
